Season_Start,District,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2011,Atlantic,36178,11581,3264,4144,4229,4616,3903,2925,1516
2011,Central,58750,13970,3443,4870,6372,7354,8066,7309,7366
2011,Massachusetts,46788,4359,2529,4317,6451,7297,7527,7184,7124
2011,Michigan,52944,22852,2841,3900,4880,5117,4910,4353,4091
2011,Mid-American,35412,9815,2580,3281,3854,4282,4132,4008,3460
2011,Minnesota,54951,8596,1963,3382,7227,8419,8527,8380,8457
2011,New England,35343,5449,1827,3122,4481,5242,4897,4909,5416
2011,New York,48205,13134,2710,4109,5382,6027,5887,5437,5519
2011,Northern Plains,13701,3378,758,993,1428,1610,1811,1768,1955
2011,Pacific,42540,24134,1958,2392,2890,3112,3016,2682,2356
2011,Rocky Mountain,39815,17966,2711,3355,3672,3638,3426,3058,1989
2011,Southeastern,46551,20522,2807,3984,4101,4636,4279,3460,2762
2011,All,511178,155756,29391,41849,54967,61350,60381,55473,52011
2012,Atlantic,36431,12354,3161,4048,4345,4498,3772,2826,1427
2012,Central,58960,14906,3496,4702,6487,7476,8000,7136,6757
2012,Massachusetts,46716,4611,2534,4421,6580,7356,7909,6840,6465
2012,Michigan,51929,22967,2724,3790,4745,5000,4715,4124,3864
2012,Mid-American,36040,10342,2583,3200,3917,4324,4248,3963,3463
2012,Minnesota,53935,8599,1925,3465,7124,8218,8456,7996,8152
2012,New England,35116,5634,2056,3031,4492,5147,4927,4865,4964
2012,New York,48544,14071,2638,4095,5544,5908,5866,5159,5263
2012,Northern Plains,13947,3393,721,1056,1381,1680,1832,1850,2034
2012,Pacific,43073,24462,1894,2387,2889,3209,3080,2632,2520
2012,Rocky Mountain,39483,18042,2509,3362,3494,3696,3521,2816,2043
2012,Southeastern,46105,21237,2720,3651,4098,4475,4127,3314,2483
2012,All,510279,160618,28961,41208,55096,60987,60453,53521,49435
2013,Atlantic,37020,12204,3039,3967,4535,4513,3993,3013,1756
2013,Central,61620,15699,3039,3967,4535,4513,3993,3013,1756
2013,Massachusetts,48074,4948,2548,4615,6856,7737,8045,6598,6727
2013,Michigan,50585,22878,2700,3552,4657,4761,4713,3528,3796
2013,Mid-American,35943,10502,2444,3152,3956,4243,4324,3846,3476
2013,Minnesota,54507,8995,1938,3470,7137,8169,8367,8071,8360
2013,New England,35389,6463,1937,2902,4572,4940,5075,4539,4961
2013,New York,48354,14034,2663,4196,5587,5867,5847,4866,5294
2013,Northern Plains,14553,3643,732,1049,1476,1709,1888,1967,2089
2013,Pacific,45537,26260,1848,2552,3018,3233,3181,2739,2706
2013,Rocky Mountain,41192,19811,2428,3296,3425,3626,3587,2773,2246
2013,Southeastern,46643,22090,2692,3591,4258,4366,4159,3195,2292
2013,All,519417,167527,28008,40309,54012,57677,57172,48148,45459
2014,Atlantic,36848,12220,3010,4081,4644,4472,3916,2928,1577
2014,Central,62665,16467,3403,4806,6907,8259,8485,7030,7308
2014,Massachusetts,49591,5006,2815,4858,6996,8165,7957,6874,6920
2014,Michigan,50602,23482,2642,3421,4551,4756,4425,3546,3779
2014,Mid-American,36647,10771,2330,3326,4063,4395,4343,3972,3447
2014,Minnesota,55450,9578,1936,3622,7063,8217,8223,8138,8673
2014,New England,35176,6227,1882,3034,4537,5014,5088,4536,4858
2014,New York,48580,13815,2594,4505,5518,5917,5833,5002,5396
2014,Northern Plains,15249,3854,791,1053,1555,1800,2042,2036,2118
2014,Pacific,47704,26795,1896,2634,3248,3506,3470,3208,2947
2014,Rocky Mountain,44639,21583,2551,3251,3724,3899,3747,3202,2682
2014,Southeastern,50021,24630,2652,3742,4379,4528,4342,3307,2441
2014,All,533172,174428,28502,42333,57185,62928,61871,53779,52146
2015,Atlantic,36857,12420,3008,4122,4560,4572,3815,2838,1522
2015,Central,64451,16878,3391,4982,7328,8428,8662,7462,7320
2015,Massachusetts,49087,5052,2916,5050,7208,8150,7663,6664,6384
2015,Michigan,50022,23252,2503,3400,4399,4692,4142,3783,3851
2015,Mid-American,37939,11871,2442,3364,4060,4495,4276,3911,3520
2015,Minnesota,57107,9740,2092,3677,7213,8245,8529,8399,9212
2015,New England,35016,6105,2006,3087,4476,5125,4970,4363,4884
2015,New York,49921,14386,2693,4579,5564,6044,5716,5163,5776
2015,Northern Plains,16032,3848,744,1107,1586,1819,2123,2296,2509
2015,Pacific,50040,28038,1973,2760,3257,3648,3794,3456,3114
2015,Rocky Mountain,44673,21317,2496,3234,3807,4091,3857,3254,2617
2015,Southeastern,51438,25187,2715,3940,4435,4654,4371,3596,2540
2015,All,542583,178094,28979,43302,57893,63963,61918,55185,53249
2016,Atlantic,38014,12457,3018,4183,4513,4426,3848,3259,2310
2016,Central,66009,17456,3546,5121,7383,8684,8830,7565,7424
2016,Massachusetts,49338,5162,2938,5177,7396,7863,7606,6572,6624
2016,Michigan,50106,23307,2543,3448,4297,4410,4151,3759,4191
2016,Mid-American,39160,12765,2504,3378,4161,4410,4297,3987,3658
2016,Minnesota,57179,9218,2107,3744,7287,8200,8621,8718,9284
