Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2011,Atlantic,DE,1074,369,135,150,110,115,100,72,23
2011,Atlantic,E PA,17285,6664,1622,1924,1875,1905,1515,1165,615
2011,Atlantic,NJ,17819,4548,1507,2070,2244,2596,2288,1688,878
2011,Central,IL,26470,6713,1745,2545,2846,3301,3818,3096,2406
2011,Central,IA,3457,1009,176,261,300,374,394,438,505
2011,Central,KS,2011,898,70,123,150,181,250,169,170
2011,Central,MO,7183,1652,529,747,759,761,847,880,1008
2011,Central,NE,1683,275,140,159,173,208,203,241,284
2011,Central,WI,17946,3423,783,1035,2144,2529,2554,2485,2993
2011,Massachusetts,MA,46788,4359,2529,4317,6451,7297,7527,7184,7124
2011,Michigan,MI,52944,22852,2841,3900,4880,5117,4910,4353,4091
2011,Mid-American,IN,5442,1835,378,502,532,615,555,549,476
2011,Mid-American,KY,1625,679,114,128,128,147,128,155,146
2011,Mid-American,OH,14476,4932,926,1193,1576,1714,1663,1429,1043
2011,Mid-American,W PA,12757,2013,1100,1377,1542,1720,1659,1758,1588
2011,Mid-American,WV,1112,356,62,81,76,86,127,117,207
2011,Minnesota,MN,54951,8596,1963,3382,7227,8419,8527,8380,8457
2011,New England,CT,13344,1994,714,1191,1708,2000,1913,1950,1874
2011,New England,ME,6201,937,311,552,775,956,843,841,986
2011,New England,NH,6399,987,388,689,851,1049,876,770,789
2011,New England,RI,4911,801,201,395,565,639,668,690,952
2011,New England,VT,4488,730,213,295,582,598,597,658,815
2011,New York,NY,48205,13134,2710,4109,5382,6027,5887,5437,5519
2011,Northern Plains,MT,3951,2088,199,218,238,279,307,309,313
2011,Northern Plains,ND,5236,337,245,385,698,807,906,871,987
2011,Northern Plains,SD,2556,407,191,239,290,333,367,353,376
2011,Northern Plains,WY,1958,546,123,151,202,191,231,235,279
2011,Pacific,AK,8616,4155,362,492,601,652,737,722,895
2011,Pacific,CA,24101,14804,1092,1375,1609,1699,1489,1241,792
2011,Pacific,HI,12,12,0,0,0,0,0,0,0
2011,Pacific,NV,1144,715,41,42,65,76,90,59,56
2011,Pacific,OR,881,225,76,95,111,110,97,94,73
2011,Pacific,WA,7786,4223,387,388,504,575,603,566,540
2011,Rocky Mountain,AZ,4113,1717,321,408,391,384,380,285,227
2011,Rocky Mountain,CO,14474,5443,1012,1371,1512,1471,1417,1356,892
2011,Rocky Mountain,ID,3035,1542,177,182,267,230,233,239,165
2011,Rocky Mountain,NM,1306,484,87,107,106,144,133,129,116
2011,Rocky Mountain,OK,1015,483,59,66,71,107,98,81,50
2011,Rocky Mountain,TX,11531,6056,778,906,963,972,844,670,342
2011,Rocky Mountain,UT,4341,2241,277,315,362,330,321,298,197
2011,Southeastern,AL,1419,452,87,132,153,170,120,157,148
2011,Southeastern,AR,281,107,17,15,19,38,38,24,23
2011,Southeastern,DC,899,481,35,25,48,84,87,83,56
2011,Southeastern,FL,11721,6444,645,857,798,920,836,636,585
2011,Southeastern,GA,2355,518,216,276,294,345,315,221,170
2011,Southeastern,LA,452,242,21,30,33,27,41,25,33
2011,Southeastern,MD,9308,3362,613,961,948,1080,990,772,582
2011,Southeastern,MS,382,126,23,51,49,35,46,22,30
2011,Southeastern,NC,6397,3117,298,464,550,627,574,455,312
2011,Southeastern,SC,1529,735,109,121,125,124,119,104,92
2011,Southeastern,TN,2880,1003,206,275,249,317,281,259,290
2011,Southeastern,VA,8928,3935,537,777,835,869,832,702,441
2011,All,USA,511178,155756,29391,41849,54967,61350,60381,55473,52011
2012,Atlantic,DE,913,339,95,116,102,96,85,59,21
2012,Atlantic,E PA,17254,6815,1612,1902,1819,1916,1493,1105,592
2012,Atlantic,NJ,18264,5200,1454,2030,2424,2486,2194,1662,814
