Season_Start,District,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2011,Atlantic,2785,880,219,305,338,375,321,220,127
2011,Central,6860,1419,380,562,771,925,957,868,978
2011,Massachusetts,9564,1299,485,792,1249,1399,1471,1334,1535
2011,Michigan,4620,1741,251,377,419,512,470,417,433
2011,Mid-American,2873,770,184,238,277,335,346,342,381
2011,Minnesota,12697,1614,368,760,1615,2324,2191,2012,1813
2011,New England,6796,1236,301,546,909,994,906,835,1069
2011,New York,5477,1076,272,463,615,756,780,739,776
2011,Northern Plains,2720,616,171,261,318,336,375,305,338
2011,Pacific,4517,2423,184,266,320,347,360,316,301
2011,Rocky Mountain,4453,2241,234,291,372,380,362,303,270
2011,Southeastern,3330,1408,181,219,299,362,365,275,221
2011,All,66692,16723,3230,5080,7502,9045,8904,7966,8242
2012,Atlantic,2713,859,199,293,338,403,292,215,114
2012,Central,6719,1464,383,521,772,901,981,820,877
2012,Massachusetts,9462,1292,481,885,1244,1502,1448,1265,1345
2012,Michigan,4648,1747,255,396,440,492,454,431,433
2012,Mid-American,2813,760,193,211,289,342,342,342,334
2012,Minnesota,12358,1731,349,734,1628,2186,2124,1914,1692
2012,New England,6543,1166,318,537,875,976,919,806,946
2012,New York,5409,1078,277,451,673,760,777,653,740
2012,Northern Plains,2730,643,186,238,306,376,350,297,334
2012,Pacific,4595,2576,176,246,320,334,341,274,328
2012,Rocky Mountain,4395,2248,210,321,368,345,388,268,247
2012,Southeastern,3315,1380,158,229,335,371,365,244,233
2012,All,65700,16944,3185,5062,7588,8988,8781,7529,7623
2013,Atlantic,2932,895,209,286,408,384,312,248,190
2013,Central,6868,1572,352,496,813,927,941,796,971
2013,Massachusetts,9816,1431,480,986,1347,1501,1484,1231,1356
2013,Michigan,4613,1740,266,364,469,442,465,399,468
2013,Mid-American,2884,719,178,218,296,362,355,366,390
2013,Minnesota,12561,1885,364,698,1654,2141,2106,1896,1817
2013,New England,6645,1199,279,543,881,963,943,816,1021
2013,New York,5344,1116,262,472,654,718,765,598,759
2013,Northern Plains,2853,665,183,291,302,369,330,329,384
2013,Pacific,4740,2644,156,274,329,332,336,285,384
2013,Rocky Mountain,4491,2319,188,305,347,395,365,301,271
2013,Southeastern,3483,1458,146,258,346,396,362,275,242
2013,All,67230,17643,3063,5191,7846,8930,8764,7540,8253
2014,Atlantic,3056,897,214,364,454,373,353,251,150
2014,Central,7076,1627,341,508,832,1033,979,820,936
2014,Massachusetts,10310,1549,503,979,1416,1558,1533,1298,1474
2014,Michigan,4794,1860,275,400,465,447,476,397,474
2014,Mid-American,2939,718,163,232,318,362,390,380,376
2014,Minnesota,12808,1908,392,766,1610,2138,2103,1995,1896
2014,New England,6611,1094,336,527,874,956,959,827,1038
2014,New York,5339,1075,243,522,644,754,702,633,766
2014,Northern Plains,2988,668,176,252,358,379,387,376,392
2014,Pacific,5128,2697,178,298,343,418,403,339,452
2014,Rocky Mountain,4838,2395,228,326,366,454,380,356,333
2014,Southeastern,3857,1583,167,303,364,448,412,316,264
2014,All,69744,18071,3216,5477,8044,9320,9077,7988,8551
2015,Atlantic,3199,874,196,421,405,422,422,281,178
2015,Central,7536,1652,341,530,869,1020,1059,957,1108
2015,Massachusetts,10527,1640,568,985,1446,1575,1499,1321,1493
2015,Michigan,4984,1916,268,427,437,464,493,442,537
2015,Mid-American,3089,755,156,235,325,391,394,373,460
2015,Minnesota,13354,1939,405,755,1653,2105,2207,2104,2186
2015,New England,6691,1068,319,538,868,1020,917,865,1096
2015,New York,5666,1038,281,531,652,769,758,694,943
2015,Northern Plains,3189,678,192,257,380,357,427,433,465
2015,Pacific,5639,2803,194,325,362,469,475,498,513
2015,Rocky Mountain,5064,2380,213,342,444,470,467,379,369
2015,Southeastern,4138,1592,206,323,441,464,403,367,342
